# Matter power spectrum P(k) at redshift z=0
# for k=1.04211e-05 to 8.36311 h/Mpc,
# number of wavenumbers equal to 611
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       3.084814685870e-02       1.934999395878e+04 
       3.099335498081e-02       1.927511107378e+04 
       3.113895148170e-02       1.920024775664e+04 
       3.128494617794e-02       1.912526779923e+04 
       3.143134918274e-02       1.905011819918e+04 
       3.157817091713e-02       1.897504328604e+04 
       3.172542212153e-02       1.889978889707e+04 
       3.187311386798e-02       1.882471745601e+04 
       3.202125757284e-02       1.874932971746e+04 
       3.216986501022e-02       1.867409348574e+04 
       3.231894832601e-02       1.859878566469e+04 
       3.246852005253e-02       1.852351881407e+04 
       3.261859312405e-02       1.844816022300e+04 
       3.276918089297e-02       1.837284648605e+04 
       3.292029714687e-02       1.829752687584e+04 
       3.307195612641e-02       1.822210337389e+04 
       3.322417254419e-02       1.814677821742e+04 
       3.337696160453e-02       1.807137787888e+04 
       3.353033902434e-02       1.799606881337e+04 
       3.368432105514e-02       1.792084109813e+04 
       3.383892450614e-02       1.784547414656e+04 
       3.399416676870e-02       1.777033169674e+04 
       3.415006584208e-02       1.769495872848e+04 
       3.430664036061e-02       1.761973868169e+04 
       3.446390962243e-02       1.754460822751e+04 
       3.462189361981e-02       1.746941081063e+04 
       3.478061307128e-02       1.739431021944e+04 
       3.494008945553e-02       1.731917250693e+04 
       3.510034504741e-02       1.724429199145e+04 
       3.526140295601e-02       1.716917957926e+04 
       3.542328716503e-02       1.709421875373e+04 
       3.558602257561e-02       1.701936793240e+04 
       3.574963505186e-02       1.694444338882e+04 
       3.591415146911e-02       1.686962839001e+04 
       3.607959976534e-02       1.679496306562e+04 
       3.624600899579e-02       1.672024981972e+04 
       3.641340939114e-02       1.664550122419e+04 
       3.658183241958e-02       1.657094734311e+04 
       3.675131085281e-02       1.649629909521e+04 
       3.692187883672e-02       1.642180281483e+04 
       3.709357196669e-02       1.634739358899e+04 
       3.726642736815e-02       1.627300446920e+04 
       3.744048378286e-02       1.619852584240e+04 
       3.761578166118e-02       1.612421824359e+04 
       3.779236326102e-02       1.605000724438e+04 
       3.797027275406e-02       1.597573098083e+04 
       3.814955633976e-02       1.590162541354e+04 
       3.833026236792e-02       1.582749941628e+04 
       3.851244147063e-02       1.575351262553e+04 
       3.869614670432e-02       1.567948404402e+04 
       3.888143370301e-02       1.560544930530e+04 
       3.906836084373e-02       1.553143141297e+04 
       3.925698942531e-02       1.545743654059e+04 
       3.944738386181e-02       1.538357786263e+04 
       3.963961189210e-02       1.530964218441e+04 
       3.983374480722e-02       1.523590534145e+04 
       4.002985769720e-02       1.516201647373e+04 
       4.022802971955e-02       1.508807769006e+04 
       4.042834439167e-02       1.501425696028e+04 
       4.063088990958e-02       1.494035463094e+04 
       4.083575949611e-02       1.486653076095e+04 
       4.104305178163e-02       1.479267296276e+04 
       4.125287122106e-02       1.471884025482e+04 
       4.146532855138e-02       1.464488082882e+04 
       4.168054129437e-02       1.457092897599e+04 
       4.189863430986e-02       1.449689826145e+04 
       4.211974040591e-02       1.442292922305e+04 
       4.234400101266e-02       1.434875767815e+04 
       4.257156692810e-02       1.427463355600e+04 
       4.280259914502e-02       1.420035057856e+04 
       4.303726976965e-02       1.412591049539e+04 
       4.327576304449e-02       1.405139907619e+04 
       4.351827648948e-02       1.397695439487e+04 
       4.376502217795e-02       1.390207744181e+04 
       4.401622816689e-02       1.382731587256e+04 
       4.427214010361e-02       1.375227524145e+04 
       4.453302303554e-02       1.367706954880e+04 
       4.479916345376e-02       1.360148332571e+04 
       4.507087160684e-02       1.352585666165e+04 
       4.534848412819e-02       1.344991949180e+04 
       4.563236702795e-02       1.337371587259e+04 
       4.592291911042e-02       1.329727991885e+04 
       4.622057588999e-02       1.322054865137e+04 
       4.652581409293e-02       1.314346178422e+04 
       4.683915685062e-02       1.306557298600e+04 
       4.716117971154e-02       1.298783047081e+04 
       4.749251762720e-02       1.290934400991e+04 
       4.783387310101e-02       1.283037438542e+04 
       4.818602573167e-02       1.275092958508e+04 
       4.854984343645e-02       1.267084460984e+04 
       4.892629570657e-02       1.259007758401e+04 
       4.931646933251e-02       1.250853862580e+04 
       4.972158714444e-02       1.242578844549e+04 
       5.014303045070e-02       1.234257441469e+04 
       5.058236603181e-02       1.225855419634e+04 
       5.104137877036e-02       1.217313994151e+04 
       5.152211128115e-02       1.208648854908e+04 
       5.202691226572e-02       1.199859700475e+04 
       5.255849576818e-02       1.190892966480e+04 
       5.312001407014e-02       1.181753927385e+04 
       5.371514763853e-02       1.172424582960e+04 
       5.434821631645e-02       1.162825298550e+04 
       5.502431675403e-02       1.152978134438e+04 
       5.574949173038e-02       1.142795168003e+04 
       5.653093709931e-02       1.132210092942e+04 
       5.737725071950e-02       1.121202868493e+04 
       5.829872315266e-02       1.109606585967e+04 
       5.930765882978e-02       1.097312693565e+04 
       6.041869298033e-02       1.084146071049e+04 
       6.164902471894e-02       1.069868813032e+04 
       6.301840882065e-02       1.054109439657e+04 
       6.454863235153e-02       1.036531835861e+04 
       6.626207398066e-02       1.016494153699e+04 
       6.817891579234e-02       9.933913407195e+03 
       7.031289639605e-02       9.665291536947e+03 
       7.266642291958e-02       9.353325568103e+03 
       7.522716153090e-02       8.995290763288e+03 
       7.796862269220e-02       8.593738523367e+03 
       8.085538435782e-02       8.158405863469e+03 
       8.385050389391e-02       7.704075837992e+03 
       8.692152140563e-02       7.249033405880e+03 
       9.004322174108e-02       6.810735002854e+03 
       9.319764077789e-02       6.404357421852e+03 
       9.637270768898e-02       6.040903638776e+03 
       9.956061602397e-02       5.726033569920e+03 
       1.027564386967e-01       5.461612153791e+03 
       1.059571129133e-01       5.244764002152e+03 
       1.091607525129e-01       5.070222826826e+03 
       1.123662025107e-01       4.930047542920e+03 
       1.155727580206e-01       4.815279635008e+03 
       1.187799896541e-01       4.716334580796e+03 
       1.219876360731e-01       4.624166709349e+03 
