# Matter power spectrum P(k) at redshift z=0
# for k=1.04211e-05 to 8.36311 h/Mpc,
# number of wavenumbers equal to 611
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       3.494008945553e-02       1.765939676413e+04 
       3.510034504741e-02       1.758380403853e+04 
       3.526140295601e-02       1.750795971340e+04 
       3.542328716503e-02       1.743225666928e+04 
       3.558602257561e-02       1.735665236231e+04 
       3.574963505186e-02       1.728095855502e+04 
       3.591415146911e-02       1.720536308455e+04 
       3.607959976534e-02       1.712990714066e+04 
       3.624600899579e-02       1.705438822149e+04 
       3.641340939114e-02       1.697881922072e+04 
       3.658183241958e-02       1.690343604979e+04 
       3.675131085281e-02       1.682794234029e+04 
       3.692187883672e-02       1.675259072059e+04 
       3.709357196669e-02       1.667731467688e+04 
       3.726642736815e-02       1.660204557902e+04 
       3.744048378286e-02       1.652667099646e+04 
       3.761578166118e-02       1.645145823628e+04 
       3.779236326102e-02       1.637633099802e+04 
       3.797027275406e-02       1.630112321623e+04 
       3.814955633976e-02       1.622607706984e+04 
       3.833026236792e-02       1.615099644417e+04 
       3.851244147063e-02       1.607604523166e+04 
       3.869614670432e-02       1.600103766261e+04 
       3.888143370301e-02       1.592601032758e+04 
       3.906836084373e-02       1.585098686264e+04 
       3.925698942531e-02       1.577597362843e+04 
       3.944738386181e-02       1.570108689774e+04 
       3.963961189210e-02       1.562610771604e+04 
       3.983374480722e-02       1.555131946829e+04 
       4.002985769720e-02       1.547636171327e+04 
       4.022802971955e-02       1.540133934040e+04 
       4.042834439167e-02       1.532642497877e+04 
       4.063088990958e-02       1.525141345415e+04 
       4.083575949611e-02       1.517646929055e+04 
       4.104305178163e-02       1.510147697094e+04 
       4.125287122106e-02       1.502649717576e+04 
       4.146532855138e-02       1.495137379543e+04 
       4.168054129437e-02       1.487624490799e+04 
       4.189863430986e-02       1.480102160214e+04 
       4.211974040591e-02       1.472584843153e+04 
       4.234400101266e-02       1.465045358584e+04 
       4.257156692810e-02       1.457509417358e+04 
       4.280259914502e-02       1.449955789767e+04 
       4.303726976965e-02       1.442384647890e+04 
       4.327576304449e-02       1.434804813233e+04 
       4.351827648948e-02       1.427230497021e+04 
       4.376502217795e-02       1.419610312029e+04 
       4.401622816689e-02       1.412000640586e+04 
       4.427214010361e-02       1.404360852539e+04 
       4.453302303554e-02       1.396702674954e+04 
       4.479916345376e-02       1.389003892809e+04 
       4.507087160684e-02       1.381299528624e+04 
       4.534848412819e-02       1.373561736583e+04 
       4.563236702795e-02       1.365795033340e+04 
       4.592291911042e-02       1.358002911276e+04 
       4.622057588999e-02       1.350178850561e+04 
       4.652581409293e-02       1.342316602205e+04 
       4.683915685062e-02       1.334370088829e+04 
       4.716117971154e-02       1.326437071179e+04 
       4.749251762720e-02       1.318425669745e+04 
       4.783387310101e-02       1.310362725408e+04 
       4.818602573167e-02       1.302248996753e+04 
       4.854984343645e-02       1.294067375389e+04 
       4.892629570657e-02       1.285813444249e+04 
       4.931646933251e-02       1.277477812626e+04 
       4.972158714444e-02       1.269014973529e+04 
       5.014303045070e-02       1.260501972587e+04 
       5.058236603181e-02       1.251903281475e+04 
       5.104137877036e-02       1.243157937751e+04 
       5.152211128115e-02       1.234281888314e+04 
       5.202691226572e-02       1.225274511575e+04 
       5.255849576818e-02       1.216080036092e+04 
       5.312001407014e-02       1.206703438055e+04 
       5.371514763853e-02       1.197125516570e+04 
       5.434821631645e-02       1.187263129451e+04 
       5.502431675403e-02       1.177138175781e+04 
       5.574949173038e-02       1.166658455717e+04 
       5.653093709931e-02       1.155753770589e+04 
       5.737725071950e-02       1.144401390849e+04 
       5.829872315266e-02       1.132425798711e+04 
       5.930765882978e-02       1.119711060022e+04 
       6.041869298033e-02       1.106071096438e+04 
       6.164902471894e-02       1.091253189661e+04 
       6.301840882065e-02       1.074864048910e+04 
       6.454863235153e-02       1.056544624670e+04 
       6.626207398066e-02       1.035615784159e+04 
       6.817891579234e-02       1.011433937080e+04 
       7.031289639605e-02       9.832613545270e+03 
       7.266642291958e-02       9.504848441187e+03 
       7.522716153090e-02       9.128093068661e+03 
       7.796862269220e-02       8.704942136354e+03 
       8.085538435782e-02       8.245531650618e+03 
       8.385050389391e-02       7.765308255213e+03 
       8.692152140563e-02       7.283416032527e+03 
       9.004322174108e-02       6.818185442831e+03 
       9.319764077789e-02       6.385620577237e+03 
       9.637270768898e-02       5.997413056165e+03 
       9.956061602397e-02       5.659692453673e+03 
       1.027564386967e-01       5.374611470748e+03 
       1.059571129133e-01       5.139321174144e+03 
       1.091607525129e-01       4.948412517328e+03 
